,date,open,high,low,close,volume,average,barCount
309,2022-09-28 10:18:00,3712.92,3713.44,3710.27,3713.32,0.0,0.0,113
310,2022-09-28 10:20:00,3713.38,3713.4,3710.66,3710.83,0.0,0.0,115
311,2022-09-28 10:22:00,3710.95,3711.9,3710.08,3711.2,0.0,0.0,109
312,2022-09-28 10:24:00,3711.41,3711.43,3707.63,3707.63,0.0,0.0,109
313,2022-09-28 10:26:00,3707.53,3708.16,3706.34,3706.67,0.0,0.0,109
314,2022-09-28 10:28:00,3706.68,3707.18,3705.32,3706.28,0.0,0.0,111
315,2022-09-28 10:30:00,3706.26,3706.57,3704.31,3705.22,0.0,0.0,112
316,2022-09-28 10:32:00,3705.23,3707.54,3704.52,3707.42,0.0,0.0,107
317,2022-09-28 10:34:00,3707.38,3707.6,3705.85,3706.87,0.0,0.0,109
318,2022-09-28 10:36:00,3706.8,3706.8,3702.92,3703.82,0.0,0.0,116
319,2022-09-28 10:38:00,3703.79,3705.23,3702.54,3704.83,0.0,0.0,111
320,2022-09-28 10:40:00,3704.82,3705.93,3704.57,3704.96,0.0,0.0,114
321,2022-09-28 10:42:00,3705.23,3708.35,3705.11,3707.65,0.0,0.0,114
322,2022-09-28 10:44:00,3707.63,3707.9,3703.19,3703.27,0.0,0.0,113
323,2022-09-28 10:46:00,3703.26,3704.14,3701.07,3701.07,0.0,0.0,112
324,2022-09-28 10:48:00,3699.36,3701.43,3698.88,3700.08,0.0,0.0,111
325,2022-09-28 10:50:00,3700.05,3700.18,3697.43,3698.65,0.0,0.0,109
326,2022-09-28 10:52:00,3698.64,3698.64,3696.53,3697.51,0.0,0.0,111
327,2022-09-28 10:54:00,3697.47,3700.47,3697.32,3700.24,0.0,0.0,109
328,2022-09-28 10:56:00,3700.17,3700.55,3698.57,3700.05,0.0,0.0,111
329,2022-09-28 10:58:00,3700.08,3702.18,3699.88,3700.84,0.0,0.0,113
330,2022-09-28 11:00:00,3700.89,3703.08,3700.67,3702.39,0.0,0.0,111
331,2022-09-28 11:02:00,3702.41,3702.67,3700.08,3701.16,0.0,0.0,108
